SMILES,score
Cc1cccc(COC(=O)Nc2ccc(-c3cn[nH]c3)cc2OCCN2CCCC2)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,2.978505049769262
CCC(C)C1=C(C=CC=C1)OCCC[N]2C=CN=C2.O=C(O)C(=O)O,0.35198008204428
CCc1ccc(C(=O)/C(=C(/S)NC2CC2)[n+]2ccc(CC)cc2)cc1,1.014510522
C=CCOc1ccc(C(F)(F)F)cc1C(=O)NC[C@H]1CCC[C@H]1O,0.089502102
COc1cc(OC)cc([C@@H](NC(=O)Cn2ccccc2=O)c2nccn2C)c1,-1.33520896
CN1CCC[C@@]2(CCN(C(=O)CN3CCNC(=O)C3)C2)C1=O,-4.716068457
COc1ccc(Cl)cc1NC(=O)c1nn(C)cc1[N+](=O)[O-],0.109935327
Cc1nn(-c2ccccc2)c(O)c1/C=[NH+]/Cc1ccncc1,-2.136619223
C=CCN1C(=O)C(C)(C)COc2ccc(NC(=O)C3(c4ccc(OC)cc4)CCOCC3)cc21,1.574910254
CON(C)C(=O)c1cnn2c(C)cc(C)nc12,-1.568307184
NC(=O)[C@@H](NC(=O)CCCc1cccs1)c1ccccc1,-0.031143614
COc1cccc(CN2CCC[NH+](CC(=O)Nc3ccc(F)cc3)S2(=O)=O)c1,-2.737911784
Cc1ccc(-c2nc3ccc(C)c(C)c3[nH]2)nc1,1.207643217
Cc1n[nH]c(SCC(=O)Nc2cccc(C#Cc3ccccn3)c2)n1,-0.046296252
COC(=O)c1cncc(C(=O)Nc2cccc(COC(C)C)c2)c1,1.00130715
Cc1ccc(C)c(Oc2ccc(CNC(=O)N3CCCSCC3)cn2)c1,1.769344664
CC[NH2+][C@@]1(C(=O)[O-])CCC[C@H](Oc2ccc(CC)cc2)C1,-3.523151538
CC(=O)N1c2ccc(S(=O)(=O)N3CCCC3)cc2C[C@H]1C(=O)NCC[NH+](C)C1CCCCC1,-3.276779408
C=CCN1CC(=O)N2[C@@H](Cc3c([nH]c4ccccc34)[C@@H]2c2ccccc2OC)C1=O,-0.240167863
COc1ccc(-c2noc3ncnc(N4CCC[C@H](C(=O)[O-])C4)c23)cc1,-1.893174099
N#Cc1cc(NC(=O)Cc2ccccc2Cl)ccc1N1CCC(O)CC1,1.180194377
Cc1ncc(-c2ccc(S(=O)(=O)NC3CCCCCC3)s2)o1,1.198896643
Cc1ccc(NC(=O)c2ccc(F)cc2F)cc1S(=O)(=O)Nc1ccc(Cl)cc1,3.032271232
CNC(=O)[C@@H]1CCC[NH+]1Cc1ccc(C)c(F)c1,-3.963918086
CN1C(=O)N[C@@H](c2cccc([N+](=O)[O-])c2)C2=C1CN(c1ccc(F)cc1)C2=O,-0.225172154
Cc1cc(CC(=O)N[C@H](c2ccc(F)cc2)C2CCC2)no1,0.657088361
